Student ID,Gender,Age,School,Math Score,Reading Score,Writing Score,Class Performance
1,Male,18,C,99,94,98,C
2,Male,17,D,78,61,98,B
3,Female,21,B,67,95,78,A
4,Female,20,E,67,67,86,C
5,Female,20,B,66,81,74,B
6,Female,21,E,87,97,69,D
7,Female,21,D,78,67,69,A
8,Female,21,D,86,69,75,A
9,Female,17,B,97,90,64,B
10,Male,17,B,78,83,75,B
11,Male,20,E,93,95,60,C
12,Male,19,E,93,62,83,A
13,Male,17,E,63,149,85,C
14,Male,18,B,79,,82,A
15,Male,18,C,81,77,62,D
16,Female,21,C,69,81,82,D
17,Male,20,C,62,75,81,C
18,Female,17,E,88,73,76,A
19,Female,18,D,65,70,95,A
20,Male,18,E,86,91,81,B
21,Male,17,C,70,69,81,A
22,Female,20,C,80,70,,D
23,Female,18,A,73,,97,D
24,Female,18,B,94,88,86,C
25,Female,21,A,97,79,91,C
26,Male,21,C,94,82,83,B
27,Male,18,B,83,78,88,B
28,Male,20,B,70,94,64,D
29,Male,18,D,97,93,100,C
30,Male,18,B,62,76,99,D
31,Female,18,B,75,95,91,A
32,Male,17,C,63,95,73,C
33,Female,19,D,94,62,95,D
34,Male,21,D,71,93,80,A
35,Male,20,E,74,76,81,A
36,Male,21,C,80,98,62,C
37,Male,21,C,75,60,98,A
38,Male,19,B,64,84,,A
39,Female,17,B,73,63,95,D
40,Female,21,C,86,77,71,A
41,Female,20,E,87,77,88,D
42,Female,20,B,80,,75,B
43,Male,20,D,91,75,81,C
44,Male,19,A,74,,63,A
45,Male,21,D,89,83,99,B
46,Male,19,A,129,97,94,A
47,Female,19,A,69,70,92,A
48,Female,17,D,93,68,75,C
49,Female,17,E,88,75,85,C
50,Female,17,B,66,97,71,C
51,Female,17,D,71,81,90,B
52,Male,19,C,63,72,83,B
53,Male,20,A,84,69,,D
54,Male,20,C,89,74,79,C
55,Female,21,D,96,77,98,D
56,Male,18,A,85,99,69,A
57,Female,21,B,100,71,68,A
58,Male,19,E,91,68,85,B
59,Female,17,C,71,97,85,B
60,Female,17,D,90,85,,A
61,Male,18,B,68,67,94,C
62,Female,17,B,74,79,94,C
63,Male,17,D,96,100,92,B
64,Female,18,D,98,60,80,C
65,Female,21,E,69,80,93,C
66,Female,17,E,74,97,70,B
67,Female,21,C,80,78,97,D
68,Male,19,B,76,73,80,A
69,Male,21,B,91,62,93,A
70,Female,20,B,62,76,,B
71,Male,20,E,96,100,87,A
72,Male,20,E,69,61,63,A
73,Female,19,B,80,80,76,B
74,Female,17,D,78,83,76,C
75,Male,17,D,63,61,67,D
76,Female,19,C,60,100,72,B
77,Male,20,B,70,72,66,D
78,Female,21,D,97,88,86,A
79,Male,19,D,72,63,83,C
80,Female,21,B,99,95,60,B
81,Female,18,C,73,76,95,D
82,Female,20,D,96,69,68,C
83,Male,20,A,66,,70,A
84,Male,19,B,92,80,76,A
85,Male,20,E,,100,70,B
86,Female,21,E,78,96,60,A
87,Male,18,D,93,79,95,B
88,Female,18,B,94,62,76,B
89,Female,18,B,69,99,91,D
90,Female,21,C,72,76,98,B
91,Male,19,D,94,69,,D
92,Female,18,E,72,86,84,C
93,Male,17,D,70,92,93,D
94,Male,19,A,61,64,67,D
95,Male,21,E,82,88,64,B
96,Male,21,C,60,95,82,B
97,Male,19,D,66,99,95,B
98,Male,17,A,88,98,73,A
99,Male,19,A,80,89,76,A
100,Female,17,A,100,90,97,A
101,Female,21,E,72,69,,A
102,Female,19,C,,100,68,B
103,Female,20,A,82,63,89,B
104,Male,17,D,83,73,92,D
105,Male,18,D,83,72,63,C
106,Female,20,C,62,77,98,D
107,Male,17,C,95,92,64,D
108,Male,19,B,67,86,83,B
109,Male,21,B,72,61,61,A
110,Female,19,D,62,83,93,A
111,Female,18,B,83,95,76,B
112,Female,20,A,89,93,81,C
113,Female,21,E,,60,67,B
114,Female,20,C,94,63,60,D
115,Female,17,C,70,62,72,D
116,Female,21,B,88,71,,D
117,Female,21,B,,73,91,A
118,Female,19,B,,67,81,D
119,Male,20,C,92,87,63,D
120,Male,21,D,97,70,,A
121,Female,20,B,65,87,91,C
122,Male,20,A,72,88,63,B
123,Male,18,B,74,,95,A
124,Female,18,C,75,77,100,B
125,Male,21,A,,80,76,A
126,Male,19,B,79,73,99,B
127,Female,21,B,88,98,65,A
128,Female,17,D,89,73,61,C
129,Male,21,C,65,62,99,B
130,Female,19,A,76,96,80,D
131,Female,21,D,64,75,62,A
132,Female,21,A,98,77,75,A
133,Male,18,E,75,,86,B
134,Male,18,E,96,75,95,B
135,Female,19,D,81,95,64,B
136,Male,21,C,79,86,78,A
137,Male,19,E,93,73,79,A
138,Female,21,B,60,87,61,B
139,Female,21,A,72,68,62,B
140,Male,17,A,65,69,66,B
141,Male,20,A,100,90,87,D
142,Female,19,B,77,77,85,A
143,Male,17,A,,93,67,C
144,Female,17,B,93,,78,A
145,Male,20,E,85,100,72,C
146,Male,18,B,83,,63,B
147,Female,17,D,71,95,75,C
148,Male,17,A,85,83,76,D
149,Male,19,B,77,88,67,D
150,Male,18,E,74,93,76,B
151,Male,18,B,74,87,88,C
152,Male,17,E,80,60,77,D
153,Female,17,A,79,91,76,D
154,Female,20,D,67,62,68,C
155,Male,19,D,85,60,78,B
156,Male,17,B,85,85,90,C
157,Female,19,C,79,77,71,C
158,Male,19,B,60,98,76,C
159,Male,18,C,89,90,96,C
160,Female,20,B,97,89,,C
161,Female,18,C,68,100,70,B
162,Female,19,E,92,78,100,A
163,Male,20,C,67,70,61,D
164,Male,17,B,89,65,90,A
165,Female,17,E,76,93,,C
166,Male,19,D,72,77,91,A
167,Female,17,A,60,61,,A
168,Male,21,B,87,76,97,C
169,Female,18,B,88,70,100,B
170,Male,19,D,68,65,97,D
171,Female,21,B,65,94,64,A
172,Female,21,B,74,81,62,B
173,Male,18,C,85,76,100,A
174,Female,18,C,87,77,100,D
175,Male,18,D,91,68,87,C
176,Female,21,D,67,65,79,D
177,Female,21,D,143,95,89,C
178,Male,18,A,,99,65,A
179,Male,17,C,72,100,68,D
180,Female,17,D,79,95,69,A
181,Male,21,E,89,71,68,C
182,Male,17,D,66,72,88,B
183,Female,19,D,86,69,95,B
184,Female,17,B,99,86,75,A
185,Male,21,E,87,89,81,C
186,Male,17,A,87,67,98,B
187,Male,20,E,,79,98,A
188,Male,20,B,79,78,93,C
189,Female,19,E,66,73,83,A
190,Female,17,D,63,85,83,D
191,Female,19,D,96,80,63,B
192,Male,18,B,91,77,80,D
193,Male,18,D,76,89,,B
194,Male,17,D,98,61,91,D
195,Female,17,E,,97,93,C
196,Female,20,D,64,93,70,C
197,Female,19,A,76,71,78,C
198,Female,19,D,87,99,69,D
199,Male,20,A,,79,62,C
200,Female,21,A,77,80,65,A
201,Male,20,E,67,100,90,C
202,Male,17,A,82,87,95,A
203,Male,20,C,90,64,73,B
204,Male,17,C,80,64,61,A
205,Male,21,C,,64,82,D
206,Male,20,A,81,82,90,D
207,Male,18,C,65,86,61,C
208,Male,18,B,77,81,79,A
209,Male,20,B,63,82,84,A
210,Male,19,D,63,,99,B
211,Male,20,E,73,86,60,B
212,Female,17,B,61,,98,B
213,Female,17,D,63,99,63,C
214,Female,18,C,93,72,83,D
215,Female,17,D,90,84,65,A
216,Female,20,C,79,82,85,A
217,Male,17,D,87,62,,A
218,Female,19,A,60,84,81,B
219,Male,19,C,78,100,69,C
220,Female,19,E,94,82,87,C
221,Male,21,A,72,68,77,B
222,Male,20,D,83,97,99,A
223,Male,19,D,75,90,98,C
224,Male,20,E,74,,64,B
225,Female,21,C,61,63,68,B
226,Female,17,E,80,74,96,C
227,Female,17,B,99,63,65,D
228,Female,19,B,86,88,74,C
229,Male,18,D,81,63,82,B
230,Female,18,B,79,92,69,A
231,Female,19,D,82,64,86,C
232,Male,18,E,99,92,88,A
233,Male,20,A,100,79,72,C
234,Female,20,B,83,80,79,D
235,Male,18,B,65,93,81,C
236,Male,21,D,86,83,81,D
237,Female,18,B,61,86,66,C
238,Female,18,E,63,73,89,D
239,Female,17,D,100,72,75,C
240,Male,18,A,,74,94,A
241,Male,20,B,76,,84,A
242,Female,20,E,95,80,93,A
243,Male,21,D,71,,87,B
244,Male,20,C,100,81,78,C
245,Male,20,C,70,113,66,A
246,Male,17,B,73,84,90,B
247,Male,20,A,99,93,85,A
248,Male,18,D,76,68,76,A
